JD2001.DCE,COMMODITY,FUTURES,AGRICULTURE,鲜鸡蛋2001,DCE,10,2020-01-28,鲜鸡蛋,5吨,人民币元/500千克
JD2002.DCE,COMMODITY,FUTURES,AGRICULTURE,鲜鸡蛋2002,DCE,10,2020-02-25,鲜鸡蛋,5吨,人民币元/500千克
JD2003.DCE,COMMODITY,FUTURES,AGRICULTURE,鲜鸡蛋2003,DCE,10,2020-03-26,鲜鸡蛋,5吨,人民币元/500千克
JM1909.DCE,COMMODITY,FUTURES,RESOURCE,焦煤1909,DCE,60,2019-09-16,焦煤,60吨,人民币元/吨
JM1910.DCE,COMMODITY,FUTURES,RESOURCE,焦煤1910,DCE,60,2019-10-21,焦煤,60吨,人民币元/吨
JM1911.DCE,COMMODITY,FUTURES,RESOURCE,焦煤1911,DCE,60,2019-11-14,焦煤,60吨,人民币元/吨
JM1912.DCE,COMMODITY,FUTURES,RESOURCE,焦煤1912,DCE,60,2019-12-13,焦煤,60吨,人民币元/吨
JM2001.DCE,COMMODITY,FUTURES,RESOURCE,焦煤2001,DCE,60,2020-01-15,焦煤,60吨,人民币元/吨
JM2002.DCE,COMMODITY,FUTURES,RESOURCE,焦煤2002,DCE,60,2020-02-14,焦煤,60吨,人民币元/吨
JM2003.DCE,COMMODITY,FUTURES,RESOURCE,焦煤2003,DCE,60,2020-03-13,焦煤,60吨,人民币元/吨
L1909.DCE,COMMODITY,FUTURES,RESOURCE,线型低密度聚乙烯1909,DCE,5,2019-09-16,线型低密度聚乙烯,5吨,人民币元/吨
L1910.DCE,COMMODITY,FUTURES,RESOURCE,线型低密度聚乙烯1910,DCE,5,2019-10-21,线型低密度聚乙烯,5吨,人民币元/吨
L1911.DCE,COMMODITY,FUTURES,RESOURCE,线型低密度聚乙烯1911,DCE,5,2019-11-14,线型低密度聚乙烯,5吨,人民币元/吨
L1912.DCE,COMMODITY,FUTURES,RESOURCE,线型低密度聚乙烯1912,DCE,5,2019-12-13,线型低密度聚乙烯,5吨,人民币元/吨
L2001.DCE,COMMODITY,FUTURES,RESOURCE,线型低密度聚乙烯2001,DCE,5,2020-01-15,线型低密度聚乙烯,5吨,人民币元/吨
L2002.DCE,COMMODITY,FUTURES,RESOURCE,线型低密度聚乙烯2002,DCE,5,2020-02-14,线型低密度聚乙烯,5吨,人民币元/吨
L2003.DCE,COMMODITY,FUTURES,RESOURCE,线型低密度聚乙烯2003,DCE,5,2020-03-13,线型低密度聚乙烯,5吨,人民币元/吨
M1909.DCE,COMMODITY,FUTURES,AGRICULTURE,豆粕1909,DCE,10,2019-09-16,豆粕,10吨,人民币元/吨
M1911.DCE,COMMODITY,FUTURES,AGRICULTURE,豆粕1911,DCE,10,2019-11-14,豆粕,10吨,人民币元/吨
M1912.DCE,COMMODITY,FUTURES,AGRICULTURE,豆粕1912,DCE,10,2019-12-13,豆粕,10吨,人民币元/吨
M2001.DCE,COMMODITY,FUTURES,AGRICULTURE,豆粕2001,DCE,10,2020-01-15,豆粕,10吨,人民币元/吨
M2003.DCE,COMMODITY,FUTURES,AGRICULTURE,豆粕2003,DCE,10,2020-03-13,豆粕,10吨,人民币元/吨
MA001.CZC,COMMODITY,FUTURES,RESOURCE,甲醇2001,CZCE,10,2020-01-15,甲醇,10吨,人民币元/吨
MA002.CZC,COMMODITY,FUTURES,RESOURCE,甲醇2002,CZCE,10,2020-02-14,甲醇,10吨,人民币元/吨
MA003.CZC,COMMODITY,FUTURES,RESOURCE,甲醇2003,CZCE,10,2020-03-13,甲醇,10吨,人民币元/吨
MA909.CZC,COMMODITY,FUTURES,RESOURCE,甲醇1909,CZCE,10,2019-09-16,甲醇,10吨,人民币元/吨
MA910.CZC,COMMODITY,FUTURES,RESOURCE,甲醇1910,CZCE,10,2019-10-21,甲醇,10吨,人民币元/吨
MA911.CZC,COMMODITY,FUTURES,RESOURCE,甲醇1911,CZCE,10,2019-11-14,甲醇,10吨,人民币元/吨
MA912.CZC,COMMODITY,FUTURES,RESOURCE,甲醇1912,CZCE,10,2019-12-13,甲醇,10吨,人民币元/吨
NI1909.SHF,COMMODITY,FUTURES,METAL,镍1909,SHFE,1,2019-09-16,镍,1吨,人民币元/吨
NI1910.SHF,COMMODITY,FUTURES,METAL,镍1910,SHFE,1,2019-10-15,镍,1吨,人民币元/吨
NI1911.SHF,COMMODITY,FUTURES,METAL,镍1911,SHFE,1,2019-11-15,镍,1吨,人民币元/吨
NI1912.SHF,COMMODITY,FUTURES,METAL,镍1912,SHFE,1,2019-12-16,镍,1吨,人民币元/吨
NI2001.SHF,COMMODITY,FUTURES,METAL,镍2001,SHFE,1,2020-01-15,镍,1吨,人民币元/吨
NI2002.SHF,COMMODITY,FUTURES,METAL,镍2002,SHFE,1,2020-02-17,镍,1吨,人民币元/吨
NI2003.SHF,COMMODITY,FUTURES,METAL,镍2003,SHFE,1,2020-03-16,镍,1吨,人民币元/吨
OI001.CZC,COMMODITY,FUTURES,AGRICULTURE,菜籽油2001,CZCE,10,2020-01-15,菜籽油,10吨,人民币元/吨
OI003.CZC,COMMODITY,FUTURES,AGRICULTURE,菜籽油2003,CZCE,10,2020-03-13,菜籽油,10吨,人民币元/吨
OI909.CZC,COMMODITY,FUTURES,AGRICULTURE,菜籽油1909,CZCE,10,2019-09-16,菜籽油,10吨,人民币元/吨
OI911.CZC,COMMODITY,FUTURES,AGRICULTURE,菜籽油1911,CZCE,10,2019-11-14,菜籽油,10吨,人民币元/吨
P1909.DCE,COMMODITY,FUTURES,AGRICULTURE,棕榈油1909,DCE,10,2019-09-16,棕榈油,10吨,人民币元/吨
P1910.DCE,COMMODITY,FUTURES,AGRICULTURE,棕榈油1910,DCE,10,2019-10-21,棕榈油,10吨,人民币元/吨
